0,142.0,50.0,46.0,0,0,,,900,123,0.00
1,136.0,46.0,41.0,0,0,,,900,122,0.00
2,138.0,50.0,44.0,0,0,,,900,122,0.00
3,138.0,48.0,40.0,0,0,,,900,122,0.00
4,139.0,52.0,42.0,0,0,,,900,122,0.00
5,136.0,47.0,39.0,0,0,,,900,122,0.00
6,136.0,51.0,44.0,0,0,,,900,122,0.00
7,140.0,48.0,40.0,0,0,,,900,123,0.00
0,142.0,50.0,45.0,0,0,,,900,123,0.00
1,136.0,46.0,41.0,0,0,,,900,122,0.00
2,138.0,51.0,44.0,0,0,,,900,122,0.00
3,138.0,48.0,40.0,0,0,,,900,122,0.00
4,139.0,52.0,42.0,0,0,,,900,122,0.00
5,136.0,47.0,39.0,0,0,,,900,122,0.00
6,136.0,51.0,44.0,0,0,,,900,122,0.00
7,141.0,48.0,40.0,0,0,,,900,123,0.00
